,created_at,id,text,text_nsw
22,2021-11-25 17:11:40+00:00,1463918321385021444,@socialtheorycan @trevor8sinclair @essexpr fair point. my point was more that a lot of covid virus deaths are repor… https://t.co/r8aqplytol,@socialtheorycan @trevor8sinclair @essexpr fair point. point lot covid virus deaths repor… https://.co/r8aqplytol
23,2021-11-25 17:11:40+00:00,1463918322152611841,"a global vaccination plan is needed.
make global solidarity the new normal.", global vaccination plan needed. make global solidarity new normal.
24,2021-11-25 17:11:41+00:00,1463918326325952518,@magicbu92001094 @salrashdan3 @bblues50 @skynews @bbcnews not for 55 years if pfizer gets their way,@magicbu92001094 @salrashdan3 @bblues50 @skynews @bbcnews 55 years pfizer gets way
25,2021-11-25 17:11:42+00:00,1463918330209783815,eu regulator authorizes pfizer's covid vaccine for kids 5-11 - daily mail https://t.co/toj5sqkkp3,eu regulator authorizes pfizer' covid vaccine kids 5-11 - daily mail https://.co/toj5sqkkp3
26,2021-11-25 17:11:43+00:00,1463918334181793798,"how many of you are enjoying thanksgiving as it should be?
-no masks
-no social distancing
-no vaccination required

👋👋
i am 🇺🇸🦃♥️", many enjoying thanksgiving ? - masks - social distancing - vaccination required 👋👋 🇺🇸🦃♥️
27,2021-11-25 17:11:45+00:00,1463918340737576977,@alec_zeck many are 18 months in and don’t won’t to admit trump/biden/fauci pfizer sold the world experimental mrna… https://t.co/aqd95qi9tj,@alec_zeck many 18 months ’ ’ admit trump/biden/fauci pfizer sold world experimental mrna… https://.co/aqd95qi9tj
28,2021-11-25 17:11:46+00:00,1463918345103806464,feeling much better and finally was able to get a covid test when it wasn’t raining. glad to say the nasty bug i ha… https://t.co/zhtttjcfyz,feeling much better finally able get covid test ’ raining. glad say nasty bug ha… https://.co/zhtttjcfyz
29,2021-11-25 17:11:53+00:00,1463918374812012546,@govkathyhochul pfizer 3 in my arm two days ago at stony brook,@govkathyhochul pfizer 3 arm two days ago stony brook
30,2021-11-25 17:11:53+00:00,1463918374837100569,i'm coming to you from a covid booster shot fever haze to tell you that @madolaf is the best and you should all mar… https://t.co/ukz95zqd84,' coming covid booster shot fever haze tell @madolaf best mar… https://.co/ukz95zqd84
31,2021-11-25 17:11:53+00:00,1463918374845624330,"@drneilstone i would like to do research about the covid vaccines.
please could you point me in the direction of th… https://t.co/nqxe4nkmos",@drneilstone would like research covid vaccines. please could point direction th… https://.co/nqxe4nkmos
32,2021-11-25 17:11:57+00:00,1463918391203405836,"@markiimg @glasgowlass888 aah sarcasm, the lowest form of wit. i know of one hosp personally and all five covid icu… https://t.co/jvffyketrq","@markiimg @glasgowlass888 aah sarcasm, lowest form wit. know one hosp personally five covid icu… https://.co/jvffyketrq"
0,2021-11-26 02:15:47+00:00,1464055250499907607,@afp strange how they were saying just the other day that africa had the least amount of covid cases. now not only… https://t.co/e9v6wj5smy,@afp strange saying day africa least amount covid cases. … https://.co/e9v6wj5smy
1,2021-11-26 02:15:49+00:00,1464055259903369219,"@reutersfacts maybe the fact checkers can check all the hospitals filled with covid vaccine adverse reactions.

don… https://t.co/env5fzpf94",@reutersfacts maybe fact checkers check hospitals filled covid vaccine adverse reactions. … https://.co/env5fzpf94
